Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: ((((two laptops) and) (two desktops)) ((make up) (((this computer) station) .)))	Gold Tree: (((two laptops) (and (two desktops))) ((make (up (this (computer station)))) .))
Pred Tree: (((((a living) room) with) ((a wooden) floor)) (((filled with) furniture) .))	Gold Tree: (((a (living room)) (with (a (wooden floor)))) ((filled (with furniture)) .))
Pred Tree: ((a woman) (standing ((((on a) tennis) court) (((holding a) racquet) .))))	Gold Tree: ((a woman) (((standing (on (a (tennis court)))) (holding (a racquet))) .))
Pred Tree: (((a kite) is) (flying (((in the) air) (((at a) park) .))))	Gold Tree: ((a kite) ((is (flying ((in (the air)) (at (a park))))) .))
Pred Tree: (((a man) ((holding a) surfboard)) (((((and walking) next) to) a) cliff))	Gold Tree: ((a man) ((holding (a surfboard)) (and (walking (next (to (a cliff)))))))
Pred Tree: (((a person) (((walking across) a) desert)) ((((filled surrounded) by) mountains) .))	Gold Tree: ((a person) ((walking (across ((a desert) (filled (surrounded (by mountains)))))) .))
Pred Tree: ((boy (((in the) park) ,)) (including (((a kite) and) (a dog))))	Gold Tree: ((boy (in (the park))) (, (including ((a kite) (and (a dog))))))
Pred Tree: ((a zebra) (((((grazing on) long) dry) grass) (((in a) field) .)))	Gold Tree: ((a zebra) ((grazing ((on (long (dry grass))) (in (a field)))) .))
Pred Tree: (((((two girls) (come to)) say) good) ((((morning to) their) grandma) .))	Gold Tree: ((two girls) ((come (to (say ((good morning) (to (their grandma)))))) .))
Pred Tree: (((two boys) are) ((sitting upright) (((((in bed) near) a) nightstand) .)))	Gold Tree: ((two boys) ((are (sitting (upright ((in bed) (near (a nightstand)))))) .))
Pred Tree: (((two boys) in) ((beds with) ((a bookcase) (((in between) them) .))))	Gold Tree: ((two boys) (((in beds) (with ((a bookcase) (in (between them))))) .))
Pred Tree: (((((a group) of) young) men) (interacting ((((with their) cell) phones) .)))	Gold Tree: (((a group) (of (young men))) ((interacting (with (their (cell phones)))) .))
Pred Tree: (((a pitcher) ((throwing a) baseball)) (((at a) player) ((at bat) .)))	Gold Tree: ((a pitcher) ((throwing ((a baseball) ((at (a player)) (at bat)))) .))
Pred Tree: (((the boys) ((((stand next) to) each) other)) (((using the) devices) .))	Gold Tree: ((the boys) ((stand ((next (to (each other))) (using (the devices)))) .))
Pred Tree: (((((a spacious) living) room) with) (((a couch) and) ((foot rests) .)))	Gold Tree: ((a (spacious (living room))) ((with ((a couch) (and (foot rests)))) .))
Pred Tree: ((((a large) building) with) ((a clock) ((((hanging above) several) bells) .)))	Gold Tree: ((a (large building)) ((with ((a clock) (hanging (above (several bells))))) .))
Pred Tree: (((a person) (((sitting in) a) hair)) ((((talking on) a) cell) phone))	Gold Tree: (((a person) (sitting (in (a hair)))) (talking (on (a (cell phone)))))
Pred Tree: (((((a small) black) dog) ((standing over) a)) (((plate of) food) .))	Gold Tree: ((a (small (black dog))) ((standing (over ((a plate) (of food)))) .))
Pred Tree: (((a cat) (laying (((((inside of) a) sink) under) a))) (fixture .))	Gold Tree: ((a cat) (((laying (inside (of (a sink)))) (under (a fixture))) .))
Pred Tree: ((the ((contents of) (a purse))) (((((laid out) on) a) bed) .))	Gold Tree: (((the contents) (of (a purse))) ((laid (out (on (a bed)))) .))
Pred Tree: ((((a young) child) (((in the) yard) ((holding up) a))) (bat .))	Gold Tree: (((a (young child)) (in (the yard))) ((holding (up (a bat))) .))
Pred Tree: (((((the thin) vase) ((on a) table)) has) (flowers ((in it) .)))	Gold Tree: (((the (thin vase)) (on (a table))) ((has (flowers (in it))) .))
Pred Tree: (((((a living) room) with) (hard (wood floors))) (((filled with) furniture) .))	Gold Tree: (((a (living room)) (with (hard (wood floors)))) ((filled (with furniture)) .))
Pred Tree: (((two couples) are) (((((walking down) a) wet) sidewalk) ((under umbrellas) .)))	Gold Tree: ((two couples) ((are (walking ((down (a (wet sidewalk))) (under umbrellas)))) .))
Pred Tree: (((stuffed bear) (((((((are set) in) chairs) outside) of) a) store)) .)	Gold Tree: ((stuffed bear) ((are (set ((in chairs) (outside (of (a store)))))) .))
Pred Tree: ((((a country) store) with) (((several (teddy bears)) and) ((geese there) .)))	Gold Tree: ((a (country store)) ((with (several (teddy (bears (and geese))))) (there .)))
Pred Tree: (((a group) of) ((stuffed animals) (((((sitting next) to) some) ducks) .)))	Gold Tree: ((a group) ((of (stuffed animals)) ((sitting (next (to (some ducks)))) .)))
Pred Tree: ((a person) ((is running) ((((((on a) clear) ,) flat) beach) .)))	Gold Tree: ((a person) ((is (running (on (a (clear (, (flat beach))))))) .))
Pred Tree: (((a flower) vase) ((is holding) ((((a bunch) of) (white flowers)) .)))	Gold Tree: ((a (flower vase)) ((is (holding ((a bunch) (of (white flowers))))) .))
Pred Tree: (((a batter) (((swinging at) a) ball)) ((((on the) baseball) field) .))	Gold Tree: ((a batter) ((swinging ((at (a ball)) (on (the (baseball field))))) .))
Pred Tree: (((a batter) (is (((swinging at) a) ball))) (((at the) game) .))	Gold Tree: ((a batter) ((is (swinging ((at (a ball)) (at (the game))))) .))
Pred Tree: ((two people) (are (((playing video) games) ((((in a) living) room) .))))	Gold Tree: ((two people) ((are (playing ((video games) (in (a (living room)))))) .))
Pred Tree: (((((a very) young) child) ((holding a) remote)) (((in its) hand) .))	Gold Tree: ((a ((very young) child)) ((holding ((a remote) (in (its hand)))) .))
Pred Tree: ((((((a small) pair) of) scissors) (((sitting next) to) a)) (penny .))	Gold Tree: (((a (small pair)) (of scissors)) ((sitting (next (to (a penny)))) .))
Pred Tree: ((((a living) area) with) ((table ,) ((((chairs and) a) sofa) .)))	Gold Tree: ((a (living area)) ((with (table (, (chairs (and (a sofa)))))) .))
Pred Tree: ((a good) (stands (((((((in the) grass) next) to) the) water) .)))	Gold Tree: ((a good) ((stands ((in (the grass)) (next (to (the water))))) .))
Pred Tree: (((a young) man) ((((holding a) baseball) while) (((wearing a) uniform) .)))	Gold Tree: ((a (young man)) ((holding ((a baseball) (while (wearing (a uniform))))) .))
Pred Tree: ((multiple beds) ((stand on) ((((((hardwood floors) in) a) simple) room) .)))	Gold Tree: ((multiple beds) ((stand ((on (hardwood floors)) (in (a (simple room))))) .))
Pred Tree: (((a man) ((riding a) (skate board))) ((((up a) metal) rail) .))	Gold Tree: ((a man) ((riding ((a (skate board)) (up (a (metal rail))))) .))
Pred Tree: (((man ((wearing a) helmet)) ((taking a) jump)) (((with a) skateboard) .))	Gold Tree: ((man (wearing (a helmet))) ((taking ((a jump) (with (a skateboard)))) .))
Pred Tree: ((a man) ((((riding a) skateboard) while) ((((flying into) the) air) .)))	Gold Tree: ((a man) ((riding ((a skateboard) (while (flying (into (the air)))))) .))
Pred Tree: ((((a woman) ((in a) blue)) top) ((with headphones) ((and two) cellphones)))	Gold Tree: ((a woman) ((in (a (blue top))) (with (headphones (and (two cellphones))))))
Pred Tree: (((((a bot) ((with a) large)) drink) cup) (((jumping his) skateboard) .))	Gold Tree: (((a bot) (with (a (large (drink cup))))) ((jumping (his skateboard)) .))
Pred Tree: (((the restaurant) ((presents a) gourmet)) (((((breakfast of) eggs) and) toast) .))	Gold Tree: ((the restaurant) ((presents ((a (gourmet breakfast)) (of (eggs (and toast))))) .))
Pred Tree: (((a person) ((((standing still) on) a) skateboard)) (((, on) concrete) .))	Gold Tree: ((a person) ((standing (still ((on (a skateboard)) (, (on concrete))))) .))
Pred Tree: (((a person) (((standing on) a) (skate board))) (((in an) alley) .))	Gold Tree: ((a person) ((standing ((on (a (skate board))) (in (an alley)))) .))
Pred Tree: (((((a group) of) teens) ((((performing stunts) at) a) skateboard)) (park .))	Gold Tree: (((a group) (of teens)) ((performing (stunts (at (a (skateboard park))))) .))
Pred Tree: ((((a woman) is) taking) (((the cooked) turkey) ((out of) (the oven))))	Gold Tree: ((a woman) (is (taking ((the (cooked turkey)) (out (of (the oven)))))))
Pred Tree: (((a woman) (((is taking) a) turkey)) ((((out of) the) oven) .))	Gold Tree: ((a woman) ((is (taking ((a turkey) (out (of (the oven)))))) .))
Pred Tree: ((((a girl) coming) (((home from) the) store)) (((on her) skateboard) .))	Gold Tree: ((a girl) ((coming (home ((from (the store)) (on (her skateboard))))) .))
Pred Tree: ((((two skiers) ((on a) snowy)) mountain) ((((on a) sunny) day) .))	Gold Tree: ((two skiers) ((on (a (snowy mountain))) ((on (a (sunny day))) .)))
Pred Tree: ((((a breakfast) plate) containing) ((eggs ,) ((((bread and) french) toast) .)))	Gold Tree: ((a (breakfast plate)) ((containing (eggs (, (bread (and (french toast)))))) .))
Pred Tree: ((a man) ((riding skis) ((((((on a) snow) covered) ski) slope) .)))	Gold Tree: ((a man) ((riding (skis (on (a ((snow covered) (ski slope)))))) .))
Pred Tree: ((((an eating) area) with) (((a table) and) (((a few) chairs) .)))	Gold Tree: ((an (eating area)) ((with ((a table) (and (a (few chairs))))) .))
Pred Tree: (((small child) ((in blue) shirt)) (((holds up) <unk>) ((in hand) .)))	Gold Tree: (((small child) (in (blue shirt))) ((holds (up (<unk> (in hand)))) .))
Pred Tree: (((an adult) helps) ((((a young) child) ((hold a) hair)) (dryer .)))	Gold Tree: ((an adult) ((helps ((a (young child)) (hold (a (hair dryer))))) .))
Pred Tree: ((a table) ((topped with) ((((((plates of) food) and) wine) glasses) ..)))	Gold Tree: ((a table) ((topped (with (plates (of (food (and (wine glasses))))))) ..))
Pred Tree: (((a man) (((on a) skateboard) ((performs a) trick))) ((using a) railing))	Gold Tree: (((a man) (on (a skateboard))) (performs ((a trick) (using (a railing)))))
Pred Tree: (((four empty) beds) ((((are shown) made) up) (((inside a) room) .)))	Gold Tree: ((four (empty beds)) ((are (shown (made (up (inside (a room)))))) .))
Pred Tree: ((((a young) man) ((doing a) trick)) ((((on a) skating) rail) .))	Gold Tree: ((a (young man)) ((doing ((a trick) (on (a (skating rail))))) .))
Pred Tree: (((small boy) ((((in a) blue) shirt) (((riding on) a) skateboard))) .)	Gold Tree: (((small boy) (in (a (blue shirt)))) ((riding (on (a skateboard))) .))
Pred Tree: ((two (surf boards)) (laying (((in the) sand) (((on the) beach) .))))	Gold Tree: ((two (surf boards)) ((laying ((in (the sand)) (on (the beach)))) .))
Pred Tree: ((a person) ((((in a) restaurant) holding) ((((a plate) of) food) .)))	Gold Tree: (((a person) (in (a restaurant))) ((holding ((a plate) (of food))) .))
Pred Tree: ((a (baseball player)) (((strikes a) ball) ((((with his) baseball) bat) .)))	Gold Tree: ((a (baseball player)) ((strikes ((a ball) (with (his (baseball bat))))) .))
Pred Tree: (((a man) (with beard)) ((holding up) ((((a plate) of) food) .)))	Gold Tree: (((a man) (with beard)) ((holding (up ((a plate) (of food)))) .))
Pred Tree: (((((a green) clock) (sitting (((in front) of) a))) tall) (building .))	Gold Tree: ((a (green clock)) ((sitting (in (front (of (a (tall building)))))) .))
Pred Tree: ((((a party) decoration) containing) ((flowers ,) ((((flags ,) and) candles) .)))	Gold Tree: ((a (party decoration)) ((containing (flowers (, (flags (, (and candles)))))) .))
Pred Tree: (((a zebra) (stands ((in snow) (((in front) of) a)))) (wall .))	Gold Tree: ((a zebra) ((stands ((in snow) (in (front (of (a wall)))))) .))
Pred Tree: (((a woman) holding) ((((a pair) of) scissors) (((near her) hair) .)))	Gold Tree: ((a woman) ((holding (((a pair) (of scissors)) (near (her hair)))) .))
Pred Tree: ((a (half sandwich)) ((((((on a) plate) with) tater) tots) (and ketchup)))	Gold Tree: ((a (half sandwich)) ((on (a plate)) (with (tater (tots (and ketchup))))))
Pred Tree: (((((a green) clock) ((with a) running)) scene) (((on the) bottom) .))	Gold Tree: ((a (green clock)) ((with ((a (running scene)) (on (the bottom)))) .))
Pred Tree: (((the person) (((is holding) a) pastry)) ((with <unk>) ((in it) .)))	Gold Tree: ((the person) ((is (holding ((a pastry) (with (<unk> (in it)))))) .))
Pred Tree: ((((a group) of) people) (((with snow) board) (((stand on) the) snow)))	Gold Tree: (((a group) ((of people) (with (snow board)))) (stand (on (the snow))))
Pred Tree: ((((a group) of) people) (((with surf) board) (((standing on) some) snow)))	Gold Tree: ((a group) ((of people) ((with (surf board)) (standing (on (some snow))))))
Pred Tree: ((((a group) of) people) (standing (((in the) snow) ((with snowboards) .))))	Gold Tree: (((a group) (of people)) ((standing ((in (the snow)) (with snowboards))) .))
Pred Tree: ((a man) (((((stands beside) a) ski) lift) (((on a) mountain) .)))	Gold Tree: ((a man) ((stands ((beside (a (ski lift))) (on (a mountain)))) .))
Pred Tree: ((((a plate) of) (hot dog)) ((((on a) table) with) (a glass)))	Gold Tree: ((a plate) ((of (hot dog)) ((on (a table)) (with (a glass)))))
Pred Tree: (((a (hot dog)) ((in a) bun)) (is (((topped with) mustard) .)))	Gold Tree: (((a (hot dog)) (in (a bun))) ((is (topped (with mustard))) .))
Pred Tree: (((a white) plate) ((topped with) (((a ((cut in) half)) sandwich) .)))	Gold Tree: ((a (white plate)) ((topped (with ((a cut) (in (half sandwich))))) .))
Pred Tree: (((two zebras) fighting) (((((((in a) open) area) with) green) bushes) .))	Gold Tree: ((two zebras) ((fighting (in ((a (open area)) (with (green bushes))))) .))
Pred Tree: (((a boy) ((wearing a) hat)) ((is laying) (((on a) grass) field)))	Gold Tree: (((a boy) (wearing (a hat))) (is (laying (on (a (grass field))))))
Pred Tree: ((a (dump truck)) (((((((parked by) the) side) of) a) road) .))	Gold Tree: ((a (dump truck)) ((parked (by ((the side) (of (a road))))) .))
Pred Tree: ((((((a wide) variety) of) vegetables) (((resting on) a) plastic)) (bin .))	Gold Tree: (((a (wide variety)) (of vegetables)) ((resting (on (a (plastic bin)))) .))
Pred Tree: (((various pastries) on) ((napkins (that include)) (((donuts and) (donut holes)) .)))	Gold Tree: ((various pastries) ((on napkins) ((that (include (donuts (and (donut holes))))) .)))
Pred Tree: ((there is) (((an at) home) (((computer monitor) and) ((key board) .))))	Gold Tree: (there ((is (an (((at home) (computer monitor)) (and (key board))))) .))
Pred Tree: ((a ((picture of) ((a tv) (that is)))) (((on a) shelf) .))	Gold Tree: ((a picture) ((of ((a tv) (that (is (on (a shelf)))))) .))
Pred Tree: (((a man) (((sitting at) a) desk)) ((((working on) a) computer) .))	Gold Tree: ((a man) ((sitting ((at (a desk)) (working (on (a computer))))) .))
Pred Tree: (((a wooden) table) ((((in a) kitchen) with) (((pots and) pans) .)))	Gold Tree: ((a (wooden table)) ((in ((a kitchen) (with (pots (and pans))))) .))
Pred Tree: ((((a festival) with) people) (((and tents) outside) (((a clock) tower) .)))	Gold Tree: ((a festival) ((with (people (and tents))) ((outside (a (clock tower))) .)))
Pred Tree: ((((a group) of) people) ((((standing on) a) court) ((holding racquets) .)))	Gold Tree: (((a group) ((of people) (standing (on (a court))))) ((holding racquets) .))
Pred Tree: (((((a photo) of) freshly) ((baked bagels) ((sitting on) a))) (rack .))	Gold Tree: ((a photo) ((of (((freshly baked) bagels) (sitting (on (a rack))))) .))
Pred Tree: (((((a group) of) guys) (are playing)) ((((a round) of) tennis) .))	Gold Tree: (((a group) (of guys)) ((are (playing ((a round) (of tennis)))) .))
Pred Tree: ((several men) (playing ((((with a) soccer) ball) (((in a) park) .))))	Gold Tree: ((several men) ((playing ((with (a (soccer ball))) (in (a park)))) .))
Pred Tree: (((a bathroom) ,) ((((showing the) shower) ,) (((toilet and) sink) .)))	Gold Tree: ((a bathroom) (, ((showing (the (shower (, (toilet (and sink)))))) .)))
Pred Tree: ((the sun) (shines (((on the) side) ((((of many) tall) buildings) .))))	Gold Tree: ((the sun) ((shines (on ((the side) (of (many (tall buildings)))))) .))
Pred Tree: (((a man) ((holding a) tooth)) (((((brush up) to) his) face) .))	Gold Tree: ((a man) ((holding ((a (tooth brush)) (up (to (his face))))) .))
Pred Tree: (((((a group) of) people) are) (((holding corn) dogs) ((in containers) .)))	Gold Tree: (((a group) (of people)) ((are (holding ((corn dogs) (in containers)))) .))
Pred Tree: ((a ((photo of) (((a living) room) with))) (((couches and) a) table))	Gold Tree: ((a photo) (of ((a (living room)) (with (couches (and (a table)))))))
Pred Tree: (((a close) ((up of) (((a bowl) of) food))) ((near a) cup))	Gold Tree: ((a (close up)) ((of ((a bowl) (of food))) (near (a cup))))
Pred Tree: ((a man) (standing (((in a) costume) ((((talking on) a) cell) phone))))	Gold Tree: (((a man) (standing (in (a costume)))) (talking (on (a (cell phone)))))
Pred Tree: (((a bathroom) with) (((a toilet) ,) ((((sink and) shower) stall) .)))	Gold Tree: ((a bathroom) ((with (a (toilet (, (sink (and (shower stall))))))) .))
Pred Tree: (((a man) ((in strange) attire)) (((on a) phone) ((in a) field)))	Gold Tree: ((a man) ((in (strange attire)) (on ((a phone) (in (a field))))))
Pred Tree: (((a skier) ((leaning to) turn)) (((((on a) snow) covered) hill) .))	Gold Tree: ((a skier) ((leaning (to (turn (on (a ((snow covered) hill)))))) .))
Pred Tree: ((((((a large) empty) bathroom) with) (a ((walk in) shower))) (tub .))	Gold Tree: ((a (large (empty bathroom))) ((with ((a walk) (in (shower tub)))) .))
Pred Tree: ((((two small) children) (((standing at) a) sink)) (((brushing their) teeth) .))	Gold Tree: ((two (small children)) ((standing ((at (a sink)) (brushing (their teeth)))) .))
Pred Tree: ((an ((image of) (a man))) ((((in a) boat) with) (a dog)))	Gold Tree: ((an image) (of ((a man) ((in (a boat)) (with (a dog))))))
Pred Tree: ((((a small) child) is) (((((sitting on) the) bed) while) (drinking .)))	Gold Tree: ((a (small child)) ((is (sitting ((on (the bed)) (while drinking)))) .))
Pred Tree: (((((((a red) and) black) trick) plane) ((leaving a) smoke)) (trail .))	Gold Tree: ((a ((red (and black)) (trick plane))) ((leaving (a (smoke trail))) .))
Pred Tree: (((a bathroom) with) (((a sink) ,) ((toilet ,) ((and vanity) .))))	Gold Tree: ((a bathroom) ((with (a (sink (, (toilet (, (and vanity))))))) .))
Pred Tree: (((((several pieces) of) pottery) (((in the) process) of)) ((being painted) .))	Gold Tree: (((several pieces) (of pottery)) ((in ((the process) (of (being painted)))) .))
Pred Tree: ((there are) (((chairs and) (a shelf)) ((((in a) living) room) .)))	Gold Tree: (there ((are ((chairs (and (a shelf))) (in (a (living room))))) .))
Pred Tree: (((((a bathroom) that) has) ((a broken) wall)) (((in the) shower) .))	Gold Tree: ((a bathroom) ((that (has ((a (broken wall)) (in (the shower))))) .))
Pred Tree: ((((a long) exposure) ((image of) (a street))) (((during the) night) .))	Gold Tree: ((a (long (exposure image))) ((of ((a street) (during (the night)))) .))
Pred Tree: (((((a row) of) motorcycles) (parked (((in front) of) a))) (building .))	Gold Tree: (((a row) (of motorcycles)) ((parked (in (front (of (a building))))) .))
Pred Tree: (((the man) are) ((((driving side) by) side) (((on their) motorcycles) .)))	Gold Tree: ((the man) ((are (driving ((side (by side)) (on (their motorcycles))))) .))
Pred Tree: ((((a mother) and) child) ((holding remotes) ((((playing a) video) game) .)))	Gold Tree: (((a (mother (and child))) (holding remotes)) ((playing (a (video game))) .))
Pred Tree: ((people (sitting at)) (((computers and) (one person)) (((holding a) camera) .)))	Gold Tree: ((people (sitting (at computers))) (and (((one person) (holding (a camera))) .)))
Pred Tree: ((plates with) ((sandwiches ,) ((vegetables ,) ((and pizza) ((on a) table)))))	Gold Tree: (plates ((with (sandwiches (, (vegetables (, (and pizza)))))) (on (a table))))
Pred Tree: ((((a person) leaning) ((on a) glass)) ((looking at) (doughnuts (being made))))	Gold Tree: ((a person) ((leaning (on (a glass))) (looking (at (doughnuts (being made))))))
Pred Tree: ((((a cake) (is shown)) with) (text ((((on it) and) decorations) .)))	Gold Tree: ((a cake) ((is (shown (with (text (on (it (and decorations))))))) .))
Pred Tree: ((((a large) figure) ((and a) (surf board))) (((in the) sand) .))	Gold Tree: (((a (large figure)) (and (a (surf board)))) ((in (the sand)) .))
Pred Tree: ((there is) ((a white) ((((sink and) white) counter) ((in this) bathroom))))	Gold Tree: (there (is (((a (white sink)) (and (white counter))) (in (this bathroom)))))
Pred Tree: (((many surfboards) ((((are propped) against) a) rail)) (((on the) beach) .))	Gold Tree: ((many surfboards) ((are (propped (against ((a rail) (on (the beach)))))) .))
Pred Tree: (((((a bottle) of) soap) ((((is sitting) on) a) bathroom)) (sink .))	Gold Tree: (((a bottle) (of soap)) ((is (sitting (on (a (bathroom sink))))) .))
Pred Tree: ((((a group) of) people) ((((((sitting on) the) backs) of) elephants) .))	Gold Tree: ((a group) ((of people) ((sitting (on ((the backs) (of elephants)))) .)))
Pred Tree: ((smiling person) ((((on a) snow) board) ((((tilting to) the) side) .)))	Gold Tree: ((smiling person) ((on ((a (snow board)) (tilting (to (the side))))) .))
Pred Tree: (((((a group) of) bicyclists) are) (riding ((((in the) bike) lane) .)))	Gold Tree: (((a group) (of bicyclists)) ((are (riding (in (the (bike lane))))) .))
Pred Tree: (((soccor players) ((approach a) ball)) ((that is) (((in the) air) .)))	Gold Tree: ((soccor players) ((approach ((a ball) (that (is (in (the air)))))) .))
Pred Tree: ((a counter) ((filled with) (((fried donuts) (((line up) in) rows)) .)))	Gold Tree: (((a counter) (filled (with (fried donuts)))) ((line (up (in rows))) .))
Pred Tree: (((((a bunch) of) donuts) ((on a) tray)) ((and more) (coming out)))	Gold Tree: (((a bunch) (of (donuts (on (a tray))))) (and (more (coming out))))
Pred Tree: (((((a stone) building) that) has) ((a clock) (((on the) top) .)))	Gold Tree: ((a (stone building)) ((that (has ((a clock) (on (the top))))) .))
Pred Tree: (((an action) ((photo of) ((a child) ((on a) skateboard)))) (ramp .))	Gold Tree: ((an (action photo)) ((of ((a child) (on (a (skateboard ramp))))) .))
Pred Tree: (((people are) ((in a) boat)) (((((in the) rain) with) umbrellas) .))	Gold Tree: (people ((are ((in (a boat)) ((in (the rain)) (with umbrellas)))) .))
Pred Tree: (((((a bowl) of) tomato) soup) (((is next) to) ((grilled cheese) .)))	Gold Tree: (((a bowl) (of (tomato soup))) ((is (next (to (grilled cheese)))) .))
Pred Tree: ((((a plate) topped) with) (((two (grilled sandwiches)) and) ((a knife) .)))	Gold Tree: ((a plate) ((topped (with ((two (grilled sandwiches)) (and (a knife))))) .))
Pred Tree: ((((a pipe) and) (((a plate) of) food)) (((on a) table) .))	Gold Tree: (((a pipe) (and ((a plate) (of food)))) ((on (a table)) .))
Pred Tree: (((((an assortment) of) doughnuts) ((((are arranged) in) a) display)) (case .))	Gold Tree: (((an assortment) (of doughnuts)) ((are (arranged (in (a (display case))))) .))
Pred Tree: (((people are) ((on a) boat)) (((((in the) rain) with) umbrellas) .))	Gold Tree: (people ((are ((on (a boat)) ((in (the rain)) (with umbrellas)))) .))
Pred Tree: (man ((laying down) (((((((on a) bed) with) his) shirt) open) .)))	Gold Tree: (man ((laying (down ((on (a bed)) (with ((his shirt) open))))) .))
Pred Tree: ((((((a cup) off) coffee) and) (two muffins)) (((on a) table) .))	Gold Tree: ((((a cup) (off coffee)) (and (two muffins))) ((on (a table)) .))
Pred Tree: (((a laptop) computer) ((((sitting on) a) bed) (((by someones) feet) .)))	Gold Tree: ((a (laptop computer)) ((sitting ((on (a bed)) (by (someones feet)))) .))
Pred Tree: ((((a large) (stuffed bear)) (sits ((with a) smaller))) ((stuffed bear) .))	Gold Tree: ((a (large (stuffed bear))) ((sits (with (a (smaller (stuffed bear))))) .))
Pred Tree: (((((a group) of) people) ((in a) boat)) (((while it) rains) .))	Gold Tree: ((a group) ((of people) ((in (a boat)) ((while (it rains)) .))))
Pred Tree: (((a person) ((((in bed) watching) a) video)) (((on a) laptop) .))	Gold Tree: (((a person) (in bed)) ((watching ((a video) (on (a laptop)))) .))
Pred Tree: ((a donut) ((shop is) ((((((full of) different) flavors) of) donuts) .)))	Gold Tree: ((a (donut shop)) ((is (full (of ((different flavors) (of donuts))))) .))
Pred Tree: ((there are) ((plates (with food)) (((((and drinks) on) the) table) .)))	Gold Tree: (there ((are ((plates (with (food (and drinks)))) (on (the table)))) .))
Pred Tree: (((an ((image of) ((a bedroom) setting))) with) (((a bed) and) bench))	Gold Tree: ((an image) (of ((a (bedroom setting)) (with (a (bed (and bench)))))))
Pred Tree: ((((a bed) room) with) (((((a neatly) made) bed) and) (a desk)))	Gold Tree: ((a (bed room)) (with ((a ((neatly made) bed)) (and (a desk)))))
Pred Tree: (((a giraffe) (that is)) (((walking alone) outside) (((in a) field) .)))	Gold Tree: ((a giraffe) ((that (is (walking ((alone outside) (in (a field)))))) .))
Pred Tree: (((a woman) (((((with her) hands) on) the) glass)) ((looking at) donuts))	Gold Tree: ((a woman) ((with ((her hands) (on (the glass)))) (looking (at donuts))))
Pred Tree: ((((a wooden) desk) with) ((((a cat) and) lamp) ((on it) .)))	Gold Tree: ((a (wooden desk)) ((with ((a (cat (and lamp))) (on it))) .))
Pred Tree: ((a street) ((is displayed) ((((((at night) with) time) lapse) photography) .)))	Gold Tree: ((a street) ((is (displayed ((at night) (with (time (lapse photography)))))) .))
Pred Tree: ((((a young) man) (((standing on) a) skateboard)) (((wearing a) hat) .))	Gold Tree: ((a (young man)) ((standing ((on (a skateboard)) (wearing (a hat)))) .))
Pred Tree: ((((((a group) of) three) microwaves) (((sitting on) a) counter)) (top .))	Gold Tree: (((a group) (of (three microwaves))) ((sitting (on (a (counter top)))) .))
Pred Tree: (((a man) ((appears to) be)) ((making something) (((in his) kitchen) .)))	Gold Tree: ((a man) ((appears (to (be (making (something (in (his kitchen))))))) .))
Pred Tree: ((a person) (((in the) kitchen) (((using a) mixer) ((in a) cup))))	Gold Tree: (((a person) (in (the kitchen))) (using ((a mixer) (in (a cup)))))
Pred Tree: (((((two giraffes) roaming) with) (((a van) of) people)) ((looking on) .))	Gold Tree: ((two giraffes) ((roaming (with (((a van) (of people)) (looking on)))) .))
Pred Tree: ((((a table) that) has) ((a vase) (with ((a flower) (in it)))))	Gold Tree: ((a table) (that (has ((a vase) (with ((a flower) (in it)))))))
Pred Tree: (((a kitchen) with) (((a stove) ,) ((((shelves and) various) cabinets) .)))	Gold Tree: ((a kitchen) ((with ((a stove) (, (shelves (and (various cabinets)))))) .))
Pred Tree: ((two giraffes) (((((in the) savannah) with) buses) (((in the) background) .)))	Gold Tree: ((two giraffes) ((in (the savannah)) ((with (buses (in (the background)))) .)))
Pred Tree: (((((a bunch) of) motorcycles) (parked ((((along the) side) of) the))) street)	Gold Tree: (((a bunch) (of motorcycles)) (parked (along ((the side) (of (the street))))))
Pred Tree: (((a train) (is shown)) ((((((on the) inside) of) a) station) .))	Gold Tree: ((a train) ((is (shown (on ((the inside) (of (a station)))))) .))
Pred Tree: (((((a fluffy) white) chair) that) (((faces away) fro) ((a television) .)))	Gold Tree: ((a (fluffy (white chair))) ((that (faces away)) ((fro (a television)) .)))
Pred Tree: ((((a large) face) clock) ((((((on a) post) on) the) street) .))	Gold Tree: ((a (large (face clock))) ((on ((a post) (on (the street)))) .))
Pred Tree: (((((a tall) white) clock) tower) (((((inside of) a) tall) building) .))	Gold Tree: ((a (tall (white clock))) ((tower (inside (of (a (tall building))))) .))
Pred Tree: (((steeple and) clock) (((((((of on) the) face) of) a) building) .))	Gold Tree: ((steeple (and clock)) (of ((on ((the face) (of (a building)))) .)))
Pred Tree: (((((a group) of) people) (who are)) ((((on a) tennis) court) .))	Gold Tree: ((a group) ((of people) ((who (are (on (a (tennis court))))) .)))
Pred Tree: ((((((a white) yellow) and) blue) train) ((((at an) empty) train) station))	Gold Tree: ((a ((white (yellow (and blue))) train)) (at (an (empty (train station)))))
Pred Tree: ((a photo) (((looking down) at) ((((an old) train) (going by)) .)))	Gold Tree: ((a photo) ((looking (down (at ((an (old train)) (going by))))) .))
Pred Tree: (((((a pot) of) vegetable) soup) (is ((((cooking on) the) stove) .)))	Gold Tree: (((a pot) (of (vegetable soup))) ((is (cooking (on (the stove)))) .))
